column	recOff	width	src	lea@
HIDE_UNAVAILABLE	0x020	byte	OR 0x80	1422271e7
SPRINT_FIRE	0x020	byte	OR 0x40	142227220
AUTOMATIC	0x020	byte	AND 0xdf	142227259
GRIEF_IMMUNE	0x020	byte	OR 0x10	142227293
USE_IN_WATER	0x020	byte	OR 0x8	1422272ce
IRON_SIGHTS	0x020	byte	OR 0x4	142227309
HIDE_WEAPON	0x020	byte	OR 0x2	142227344
LASER_GUIDED	0x020	byte	OR 0x1	14222737f
CAN_STEADY_SWAY	0x021	byte	OR 0x80	1422273ba
HOLD_PLAYER_STATE_WHILE_FIRING	0x021	byte	OR 0x40	1422273f7
BLOCK_AUTO_RELOAD	0x021	byte	OR 0x20	142227434
SPAWN_PROJECTILE_AT_EYE	0x021	byte	OR 0x10	142227471
FIRE_NEEDS_LOCK	0x021	byte	OR 0x8	1422274ae
CHECK_ENTER_FIRE_STATE	0x021	byte	OR 0x4	1422274eb
CONTINUOUS_RELOAD	0x021	byte	OR 0x2	142227528
CAN_LOCKON_WHILE_BUSY	0x021	byte	OR 0x1	142227565
MAINTAIN_LOCK	0x022	byte	OR 0x80	1422275a2
UNDEFINED1	0x022	byte	OR 0x10	1422275df
UNDEFINED2	0x022	byte	OR 0x8	14222761c
MELEE_COMPOSITE_EFFECT_ID	0x022	byte	OR 0x4	142227659
USE_CONE_INSTEAD_OF_CYLINDER	0x022	byte	OR 0x2	142227696
TYPE	?	?	?	1422276d3
AMMO_ITEM_ID	?	?	?	1422276fb
AMMO_SLOT	?	?	?	142227723
AMMO_PER_SHOT	?	?	?	14222774b
BURST_COUNT	?	?	?	142227773
RANGE	0x058	dword	MOVSS XMM1	14222779b
MOVEMENT_MODIFIER	0x10c	dword	MOVSS XMM1	1422277cb
TURN_MODIFIER	0x110	dword	MOVSS XMM1	1422277fe
FIRE_DELAY_MS	?	?	?	142227831
FIRE_DURATION_MS	?	?	?	142227859
FIRE_COOLDOWN_DURATION_MS	?	?	?	142227881
AUTO_FIRE_TIME_MS	?	?	?	1422278a9
REFIRE_TIME_MS	?	?	?	1422278d1
CHARGE_UP_TIME_MS	?	?	?	1422278f9
COOK_TIME_MS	?	?	?	142227921
SPIN_UP_TIME_MS	?	?	?	142227949
RELOAD_TIME_MS	?	?	?	142227971
RELOAD_CHAMBER_TIME_MS	?	?	?	142227999
RELOAD_AMMO_FILL_TIME_MS	?	?	?	1422279c1
RELOAD_LOOP_START_TIME_MS	?	?	?	1422279e9
RELOAD_LOOP_END_TIME_MS	?	?	?	142227a11
PELLETS_PER_SHOT	?	?	?	142227a39
PELLET_PATTERN_GROUP_ID	?	?	?	142227a61
PELLET_SPREAD	0x07c	dword	MOVSS XMM1	142227a89
DEFAULT_ZOOM	0x128	dword	MOVSS XMM1	142227ab9
PLAYER_STATE_GROUP_ID	?	?	?	142227b02
RETICLE_ID	?	?	?	142227b2d
FULL_SCREEN_EFFECT	?	?	?	142227b58
EFFECT_GROUP	?	?	?	142227b83
FIRE_DETECT_RANGE	?	?	?	142227bae
