loaderOff	recOff	width	columnName	stringVA	lea@
0x4	0x024	int	TYPE	14321a3d4	1422276d3
0xc	0x02c	int	AMMO_ITEM_ID	1435e91c0	1422276fb
0x10	0x030	int	AMMO_SLOT	1435e91d0	142227723
0x14	0x034	int	BURST_COUNT	1435e91f0	142227773
0x18	0x038	int	FIRE_DURATION_MS	1435e9238	142227859
0x1c	0x03c	int	FIRE_COOLDOWN_DURATION_MS	1435e9250	142227881
0x20	0x040	int	REFIRE_TIME_MS	1435e9288	1422278d1
0x24	0x044	int	FIRE_DELAY_MS	1435e9228	142227831
0x28	0x048	int	AUTO_FIRE_TIME_MS	1435e9270	1422278a9
0x2c	0x04c	int	CHARGE_UP_TIME_MS	1435e92a0	1422278f9
0x30	0x050	int	COOK_TIME_MS	1435e92b8	142227921
0x34	0x054	int	SPIN_UP_TIME_MS	1435e1998	142227949
0x3c	0x05c	int	AMMO_PER_SHOT	1435e91e0	14222774b
0x40	0x060	int	RELOAD_TIME_MS	1435e92c8	142227971
0x44	0x064	int	RELOAD_CHAMBER_TIME_MS	1435e92e0	142227999
0x48	0x068	int	RELOAD_AMMO_FILL_TIME_MS	1435e9300	1422279c1
0x4c	0x06c	int	RELOAD_LOOP_START_TIME_MS	1435e9320	1422279e9
0x50	0x070	int	RELOAD_LOOP_END_TIME_MS	1435e9340	142227a11
0x54	0x074	int	PELLETS_PER_SHOT	1435e9360	142227a39
0x58	0x078	int	PELLET_PATTERN_GROUP_ID	1435e9378	142227a61
0x90	0x0b0	int	RECOIL_RECOVERY_DELAY_MS	1435e9578	142227e58
0x9c	0x0bc	int	RECOIL_SHOTS_AT_MIN_MAGNITUDE	1435e95e0	142227ee9
0xb8	0x0d8	int	LOCK_ON_ICON_ID	1435e9758	14222811d
0xbc	0x0dc	int	HUD_IMAGE_ID	1435e96d0	142228046
0xc0	0x0e0	int	TARGET_REQUIREMENT	1435e96e0	142228071
0xc4	0x0e4	int	FIRE_ANIM_DURATION_MS	1435e96f8	14222809c
0xc8	0x0e8	int	SEQUENTIAL_FIRE_ANIM_START	1435e9718	1422280c7
0xcc	0x0ec	int	SEQUENTIAL_FIRE_ANIM_COUNT	1435e9738	1422280f2
0xe0	0x100	int	FIRE_DETECT_RANGE	1435e9410	142227bae
0xe4	0x104	int	EFFECT_GROUP	1435e9400	142227b83
0xe8	0x108	int	PLAYER_STATE_GROUP_ID	1435e93b8	142227b02
0x100	0x120	int	LOCK_ON_ACQUIRE_TIME_MS	1435e97a8	1422281e1
0x104	0x124	int	LOCK_ON_LOSE_TIME_MS	1435e97c8	14222820c
0x118	0x138	int	RETICLE_ID	1435e93d8	142227b2d
0x11c	0x13c	int	RETICLE_ID_SECONDARY	1435e9a48	142228707
0x120	0x140	int	FULL_SCREEN_EFFECT	1435e93e8	142227b58
0x124	0x144	int	HEAT_PER_SHOT	1435e9848	1422282d0
0x128	0x148	int	HEAT_THRESHOLD	1435e9858	1422282fb
0x12c	0x14c	int	HEAT_RECOVERY_DELAY_MS	1435e9870	142228326
0x158	0x178	int	DESCRIPTION_ID	14316b990	142228535
0x15c	0x17c	int	INDIRECT_EFFECT	1435e9968	14222855e
0x168	0x188	int	INHERIT_FROM_ID	1435e99c0	1422285e9
0x170	0x190	int	MELEE_COMPOSITE_EFFECT_ID	1435e9178	142228730
0x174	0x194	int	MELEE_ABILITY_ID	1435e9a68	142228759
0x2c0	0x2e0	int	AIM_ASSIST_CONFIG	1435ea5b0	1422297b4
