loaderOff	recOff	width	columnName	stringVA	lea@
0x38	0x058	dword	RANGE	1435defb8	14222779b
0xec	0x10c	dword	MOVEMENT_MODIFIER	1435e9200	1422277cb
0xf0	0x110	dword	TURN_MODIFIER	1435e9218	1422277fe
0x5c	0x07c	dword	PELLET_SPREAD	1435e9398	142227a89
0x108	0x128	dword	DEFAULT_ZOOM	1435e93a8	142227ab9
0x14c	0x16c	dword	ARMS_FOV_SCALAR	1435e9428	142227bd9
0x60	0x080	dword	COF_RECOIL	1435e9440	142227c0c
0x64	0x084	dword	COF_SCALAR	1435e9450	142227c3c
0x68	0x088	dword	COF_SCALAR_MOVING	1435e9460	142227c6c
0x6c	0x08c	dword	COF_OVERRIDE	1435e9478	142227c9c
0x70	0x090	dword	COF_SCALAR_JUMPING	1435e9488	142227ccc
0x74	0x094	dword	RECOIL_ANGLE_MIN	1435e94a0	142227cfc
0x78	0x098	dword	RECOIL_ANGLE_MAX	1435e94b8	142227d2c
0x7c	0x09c	dword	RECOIL_HORIZONTAL_TOLERANCE	1435e94d0	142227d5c
0x80	0x0a0	dword	RECOIL_HORIZONTAL_MIN	1435e94f8	142227d8c
0x84	0x0a4	dword	RECOIL_HORIZONTAL_MAX	1435e9518	142227dbf
0x88	0x0a8	dword	RECOIL_MAGNITUDE_MIN	1435e9538	142227df2
0x8c	0x0ac	dword	RECOIL_MAGNITUDE_MAX	1435e9558	142227e25
0x94	0x0b4	dword	RECOIL_RECOVERY_RATE	1435e9598	142227e83
0x98	0x0b8	dword	RECOIL_RECOVERY_ACCELERATION	1435e95b8	142227eb6
0xa0	0x0c0	dword	RECOIL_MAX_TOTAL_MAGNITUDE	1435e9608	142227f14
0xa4	0x0c4	dword	RECOIL_INCREASE	1435e9628	142227f47
0xa8	0x0c8	dword	RECOIL_INCREASE_CROUCHED	1435e9640	142227f7a
0xb0	0x0d0	dword	RECOIL_HORIZONTAL_MIN_INCREASE	1435e9660	142227fad
0xb4	0x0d4	dword	RECOIL_HORIZONTAL_MAX_INCREASE	1435e9688	142227fe0
0xac	0x0cc	dword	RECOIL_FIRST_SHOT_MODIFIER	1435e96b0	142228013
0xf4	0x114	dword	LOCK_ON_ANGLE	1435e9770	142228148
0xf8	0x118	dword	LOCK_ON_RADIUS	1435e9780	14222817b
0xfc	0x11c	dword	LOCK_ON_RANGE	1435e9798	1422281ae
0x10c	0x12c	dword	FIRST_PERSON_OFFSET_X	1435e97e8	142228237
0x110	0x130	dword	FIRST_PERSON_OFFSET_Y	1435e9808	14222826a
0x114	0x134	dword	FIRST_PERSON_OFFSET_Z	1435e9828	14222829d
0x130	0x150	dword	SWAY_AMPLITUDE_X	1435e9890	142228351
0x134	0x154	dword	SWAY_AMPLITUDE_Y	1435e98a8	142228384
0x138	0x158	dword	SWAY_PERIOD_X	1435e98c0	1422283b7
0x13c	0x15c	dword	SWAY_PERIOD_Y	1435e98d0	1422283ea
0x140	0x160	dword	SWAY_INITIAL_Y_OFFSET	1435e98e0	14222841d
0x144	0x164	dword	SWAY_CROUCH_SCALAR	1435e9900	14222846c
0x148	0x168	dword	SWAY_PRONE_SCALAR	1435e9918	14222849f
0x150	0x170	dword	ANIM_KICK_MAGNITUDE	1435e9930	1422284d2
0x154	0x174	dword	ANIM_RECOIL_MAGNITUDE	1435e9948	142228504
0x160	0x180	dword	BULLET_ARC_KICK_ANGLE	1435e9980	142228587
0x164	0x184	dword	PROJECTILE_SPEED_OVERRIDE	1435e99a0	1422285b8
0x16c	0x18c	dword	INHERIT_FROM_CHARGE_POWER	1435e99d8	142228612
0xd0	0x0f0	dword	CYLOF_RECOIL	1435e99f8	142228643
